,ingres
270,3.3011281209336993
271,2.9667561346815554
272,2.966056504562325
273,2.996507320291914
274,3.2784254584828947
275,3.7420498938712647
276,3.199414246390172
277,2.929299084049089
278,3.003154888276088
279,3.153992704447562
280,3.493787931764746
281,3.1876307695752994
282,3.3233643716529353
283,3.130715556142222
284,3.197903062883339
285,3.054861057869328
286,3.462086802972097
287,3.788407145156298
288,2.9348136032207948
289,3.925893818593549
290,3.6643168243283832
291,2.928395689648862
292,3.8331935669338364
293,2.9233651989754903
294,2.927954683436179
295,3.550591708171086
296,3.833349551042005
297,3.6791017825840027
298,2.9329426703944694
299,3.197774398390311
300,3.1932162356221228
301,3.080175928557705
302,3.0626396294867
303,2.9799016493964783
304,3.670762799284885
305,3.1894410066304015
306,3.1252351001974947
307,3.1152361830105213
308,2.961705478456455
309,2.9249721985436
310,3.1455613952779036
311,3.0896543164442902
312,3.2237650880021045
313,3.7955009623150158
314,2.9293869123109606
315,3.080630165581325
316,3.0942284774683277
317,3.226944911664201
318,3.292640929749128
319,2.9360710479153416
320,3.48752095956422
321,3.114543252127969
322,3.3135371203191677
323,3.2548622700818943
324,3.4550746484778028
325,3.07042193490971
326,3.334534313235089
327,3.0038314475453443
328,3.019244359351142
329,2.9626529597842914
330,3.315913234934516
331,3.218574316341279
332,2.953138624607778
333,3.3372660410335
334,3.4161133470119065
335,3.2501532125771226
336,3.1521192479535594
337,3.264377273585824
338,3.0532370304273213
339,3.1880210079431675
340,4.025595985959789
341,3.272505669701992
342,3.3984533813919557
343,3.300158610771472
344,2.9229716882430035
345,3.2816939065444926
346,4.031706806185889
347,3.484154642603435
348,3.3816181473426528
349,3.3749685286093327
350,3.040585190395268
351,3.039980922827033
352,3.1824652034622396
353,3.860059895560809
354,3.7172351098823957
355,3.6768401244211253
356,3.3882190867420303
357,3.1927987753759544
358,3.2586484985131317
359,2.954196294415145
360,3.2617045447597546
361,3.2265396466816285
362,3.7786755259286675
363,3.126828186832351
364,2.999759348401321
365,3.7124577575899504
366,3.3691022672658164
367,3.0236361834705527
368,3.5585824095488885
369,3.7287719549312706
370,3.18874525198432
371,3.688399518671308
372,3.3179343955384395
373,2.963998507247381
374,3.0157487682004596
375,3.3492029836875243
376,3.363769644180115
377,3.228942563994008
378,3.2616394056775837
379,3.463599822970443
380,3.1893370592889263
381,3.300514939120092
382,4.031802070328672
383,3.470914277918071
384,3.59991798065142
385,3.3437453668031765
386,3.548809284843285
387,3.498189102665309
388,3.7871864302768037
389,3.032561222637783
390,3.5657798494622126
391,2.918408450330234
392,3.2213427565770156
393,3.195059668994208
